## SLURM PROLOG ###############################################################
##    Job ID : 3676260
##  Job Name : pinn_re40_pt
##  Nodelist : gpu2262
##      CPUs : 
##  Mem/Node : 131072 MB
## Directory : /oscar/home/jchen790/cylinder flow lab
##   Job Started : Mon Jul  6 10:33:30 PM EDT 2026
###############################################################################
[OK] _optimize._minimize_bfgs loaded — SSBroyden / SSBFGS variants available
Loaded Re40.vtk  cells=8234
Model: width=96, depth=5, params=38018
Loss weights: adaptive during Adam, frozen during BFGS
Cylinder no-slip: enforced hard through stream-function lifting
CFD-aware PDE residual: n_cfd_pde=8000, lambda_pde_cfd=1.0
[PT  ] pseudo-time stepping ENABLED  w_init=1.0  ema=0.9
[mem ] params=38018  H0 (NxN float64) = 10.77 GB  available ~ 128.0 GB
============================================================
Phase 1 — Adam (2000 epochs)
Goal: match CFD while improving PDE and enforcing wall no-slip exactly
============================================================
  [PT] w=1.7146  (raw=8.1461  ‖ΔR‖=6.276e+02  ‖Δu‖=7.704e+01)
  [PT] w=1.9530  (raw=4.0981  ‖ΔR‖=6.915e+01  ‖Δu‖=1.687e+01)
  [PT] w=2.3878  (raw=6.3011  ‖ΔR‖=2.309e+02  ‖Δu‖=3.665e+01)
  [PT] w=2.9503  (raw=8.0129  ‖ΔR‖=3.125e+02  ‖Δu‖=3.900e+01)
  [PT] w=4.5676  (raw=19.1240  ‖ΔR‖=1.036e+02  ‖Δu‖=5.417e+00)
  [PT] w=4.5275  (raw=4.1662  ‖ΔR‖=6.719e+01  ‖Δu‖=1.613e+01)
  [PT] w=4.5065  (raw=4.3173  ‖ΔR‖=1.131e+02  ‖Δu‖=2.620e+01)
  [PT] w=4.5429  (raw=4.8706  ‖ΔR‖=1.529e+02  ‖Δu‖=3.140e+01)
  [PT] w=4.7238  (raw=6.3520  ‖ΔR‖=1.978e+02  ‖Δu‖=3.113e+01)
  [PT] w=5.0791  (raw=8.2765  ‖ΔR‖=1.201e+02  ‖Δu‖=1.451e+01)
  [PT] w=5.1544  (raw=5.8326  ‖ΔR‖=7.724e+01  ‖Δu‖=1.324e+01)
  [PT] w=5.0447  (raw=4.0576  ‖ΔR‖=7.401e+01  ‖Δu‖=1.824e+01)
  [PT] w=4.9134  (raw=3.7317  ‖ΔR‖=8.372e+01  ‖Δu‖=2.244e+01)
  [PT] w=4.8212  (raw=3.9915  ‖ΔR‖=9.933e+01  ‖Δu‖=2.488e+01)
  [PT] w=4.8119  (raw=4.7281  ‖ΔR‖=1.157e+02  ‖Δu‖=2.447e+01)
  [PT] w=4.8014  (raw=4.7067  ‖ΔR‖=7.285e+01  ‖Δu‖=1.548e+01)
  [PT] w=4.6906  (raw=3.6929  ‖ΔR‖=4.992e+01  ‖Δu‖=1.352e+01)
  [PT] w=4.5544  (raw=3.3290  ‖ΔR‖=5.111e+01  ‖Δu‖=1.535e+01)
  [PT] w=4.4437  (raw=3.4478  ‖ΔR‖=5.896e+01  ‖Δu‖=1.710e+01)
  [PT] w=4.3905  (raw=3.9117  ‖ΔR‖=6.573e+01  ‖Δu‖=1.680e+01)
[Adam] ep=   20  total=4.304e+00  PDE=3.030e-01 [colloc=2.980e-01, cfd=4.944e-03] (w=2.444)  IN=8.299e-01 (w=1.276)  TB=9.189e-01 (w=1.296)  WALL=1.219e-14 (w=0.200)  OUT=2.848e-02 (w=0.507)  DATA=3.677e-01 (w=3.535)
  [PT] w=4.2911  (raw=3.3963  ‖ΔR‖=3.969e+01  ‖Δu‖=1.169e+01)
  [PT] w=4.1508  (raw=2.8876  ‖ΔR‖=2.948e+01  ‖Δu‖=1.021e+01)
  [PT] w=4.1104  (raw=3.7472  ‖ΔR‖=3.988e+01  ‖Δu‖=1.064e+01)
  [PT] w=3.9908  (raw=2.9148  ‖ΔR‖=2.565e+01  ‖Δu‖=8.799e+00)
  [PT] w=3.9334  (raw=3.4162  ‖ΔR‖=2.752e+01  ‖Δu‖=8.057e+00)
  [PT] w=4.0191  (raw=4.7905  ‖ΔR‖=2.340e+01  ‖Δu‖=4.886e+00)
  [PT] w=3.8899  (raw=2.7271  ‖ΔR‖=1.460e+01  ‖Δu‖=5.354e+00)
  [PT] w=3.8353  (raw=3.3442  ‖ΔR‖=3.053e+01  ‖Δu‖=9.130e+00)
  [PT] w=3.6829  (raw=2.3109  ‖ΔR‖=2.087e+01  ‖Δu‖=9.032e+00)
  [PT] w=3.5377  (raw=2.2314  ‖ΔR‖=1.907e+01  ‖Δu‖=8.546e+00)
  [PT] w=3.5232  (raw=3.3926  ‖ΔR‖=3.372e+01  ‖Δu‖=9.938e+00)
  [PT] w=3.4864  (raw=3.1553  ‖ΔR‖=2.114e+01  ‖Δu‖=6.698e+00)
  [PT] w=3.8677  (raw=7.2991  ‖ΔR‖=2.403e+01  ‖Δu‖=3.292e+00)
  [PT] w=3.7673  (raw=2.8633  ‖ΔR‖=1.498e+01  ‖Δu‖=5.233e+00)
